section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
c7211ba6-db55-4841-9133-f735707764cd,cb2d78ab-d7cb-42de-89b3-88cc74f8389e,group1_B1_FollowLead,7a2d5530-35f7-4640-8217-f6d7a14b9613,B1,1698826757930000000,1698826819873000000,recording.begin,recording.end
01846cc8-2bd9-4b5f-a866-a4f4955d43e8,d9986660-a979-4c44-8878-d1da33daa844,group1_B1_Custom,7a2d5530-35f7-4640-8217-f6d7a14b9613,B1,1698826969504000000,1698827040052000000,recording.begin,recording.end
39959fcb-0759-4539-9808-b727c877cdc1,e300139a-ffc2-462c-a397-3bae85856aee,group1_A1_Custom,1b42efe3-8492-4b85-8e66-c38ed00df4a3,A1,1698826975576000000,1698827038002000000,recording.begin,recording.end
2ad154e5-3269-4f6c-83cb-cf261a09ff15,2ef6c393-3293-417d-bb1b-0ff43b15f461,group2_A2_LeadFollow,e9ec7d9d-e556-42c6-9327-deec3c515d46,A2,1698830577110000000,1698830688649000000,recording.begin,recording.end
41a5347a-3794-42f7-9f8f-73c9fc25b2b7,5361868b-fc59-414c-a9dc-9032ab636ed5,group2_A2_Custom,e9ec7d9d-e556-42c6-9327-deec3c515d46,A2,1698831463990000000,1698831528485000000,recording.begin,recording.end
385d8d79-6280-47be-abdb-fe11a174bdf5,56d81e0e-5229-4b44-b49e-b7b099b9bc50,group2_A2_JointLead,e9ec7d9d-e556-42c6-9327-deec3c515d46,A2,1698830923034000000,1698831009024000000,recording.begin,recording.end
5c725bbd-f45e-4619-9dcc-fe8d22037d7a,2b273432-1d9a-4d03-a950-907808cfb28c,group2_B2_LeadFollow,b61bb562-a7fd-4291-a791-80d957e2745e,B2,1698830572438000000,1698830686150000000,recording.begin,recording.end
04f3cde8-e705-4f3d-8162-2f2b24794349,6c128c09-a850-4b4d-9d9a-b2a3edd59719,group2_A2_FollowLead,e9ec7d9d-e556-42c6-9327-deec3c515d46,A2,1698831208447000000,1698831293106000000,recording.begin,recording.end
2c2e553a-35e6-4577-83bb-c513acf7e6c0,d0baff13-7a2b-46fe-b7da-0a297c0a8ff2,group2_B2_JointLead,b61bb562-a7fd-4291-a791-80d957e2745e,B2,1698830922041000000,1698831006940000000,recording.begin,recording.end
e1699f38-cb85-4897-8539-02db515b98f8,3f71af21-d462-46b2-a197-683ee63197ae,group2_B2_FollowLead,b61bb562-a7fd-4291-a791-80d957e2745e,B2,1698831214594000000,1698831289878000000,recording.begin,recording.end
4057eabe-cea7-4940-aadc-ce157b5eb3b4,9926508d-5686-4a3c-a65b-52d044be2090,group2_B2_Custom,b61bb562-a7fd-4291-a791-80d957e2745e,B2,1698831465925000000,1698831526585000000,recording.begin,recording.end
285fbd49-83a1-467b-962e-4d012bd9c361,afe72da5-a4a2-4d9d-97ba-b8226e05923a,group3_B3_LeadFollow,ede6db0c-8e7b-4483-bba5-6c6a6f3a8e3f,B3,1698834401464000000,1698834523695000000,recording.begin,recording.end
27cff859-412a-41a3-80a5-8ed175c3c7e9,abef56c4-3147-4dfc-9e38-ecae69ece8ec,group3_A3_JointLead,a0fa8723-6bd8-46d3-9834-6a40cebf71c6,A3,1698834771427000000,1698834830807000000,recording.begin,recording.end
d0800ee1-05e8-4245-9527-2209d2c0ac90,9531e56c-6d0e-4f7a-a00a-cb25403f096e,group3_A3_Custom,a0fa8723-6bd8-46d3-9834-6a40cebf71c6,A3,1698835223918000000,1698835289667000000,recording.begin,recording.end
8f05944b-202f-4c59-b561-ac1bcad16a6b,2f02efad-705e-4ad8-99bc-5fa60a210c90,group3_A3_LeadFollow,a0fa8723-6bd8-46d3-9834-6a40cebf71c6,A3,1698834402383000000,1698834516938000000,recording.begin,recording.end
8890ce99-7f48-4cb4-bf1b-8f628da7bddb,e1ec997b-05ec-4efa-8235-cf02bd8f1427,group3_A3_FollowLead,a0fa8723-6bd8-46d3-9834-6a40cebf71c6,A3,1698834968106000000,1698835069727000000,recording.begin,recording.end
328e8daa-c4bf-473d-91cf-76b12ee63033,1ff081c5-e3f3-4591-9fda-83b36ed08f47,group3_B3_JointLead,ede6db0c-8e7b-4483-bba5-6c6a6f3a8e3f,B3,1698834771367000000,1698834834492000000,recording.begin,recording.end
0e4b8487-1ac9-4474-9378-3cf9ab018823,34a3b807-de03-4b7e-be0c-a2cc9226235c,group3_B3_FollowLead,ede6db0c-8e7b-4483-bba5-6c6a6f3a8e3f,B3,1698834969131000000,1698835072473000000,recording.begin,recording.end
517262af-2234-46fb-95c8-1db89cd29946,b65bc737-9205-4d2f-bbf6-9e9f196e143e,group3_B3_Custom,ede6db0c-8e7b-4483-bba5-6c6a6f3a8e3f,B3,1698835220385000000,1698835290090000000,recording.begin,recording.end
e6a5f623-36d4-4be2-8293-7665b797917e,a70c11d2-d3ad-4b26-bd07-f2072dfc83cb,group4_A4_LeadFollow,624f2cf7-5f77-486c-a792-e9515a5734aa,A4,1698839943871000000,1698840067304000000,recording.begin,recording.end
