NO_OF_FRAMES	23509
NO_OF_CAMERAS	9
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-03, 08:13:12.823	321964.51460860
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
1265	4.21333	
1266	4.21667	
1267	4.22000	
1268	4.22333	
1269	4.22667	
1270	4.23000	
1271	4.23333	
1272	4.23667	
1273	4.24000	
1274	4.24333	
1275	4.24667	
1276	4.25000	
1277	4.25333	
1278	4.25667	
1279	4.26000	
1280	4.26333	
1281	4.26667	
1282	4.27000	
1283	4.27333	
1284	4.27667	
1285	4.28000	
1286	4.28333	
1287	4.28667	
1288	4.29000	
1289	4.29333	
1290	4.29667	
1291	4.30000	
1292	4.30333	
1293	4.30667	
1294	4.31000	
1295	4.31333	
1296	4.31667	
1297	4.32000	
1298	4.32333	
1299	4.32667	
1300	4.33000	
1301	4.33333	
1302	4.33667	
1303	4.34000	
1304	4.34333	
1305	4.34667	
1306	4.35000	
1307	4.35333	
1308	4.35667	
1309	4.36000	
1310	4.36333	
1311	4.36667	
1312	4.37000	
1313	4.37333	
1314	4.37667	
1315	4.38000	
1316	4.38333	
1317	4.38667	
1318	4.39000	
1319	4.39333	
1320	4.39667	
1321	4.40000	
1322	4.40333	
1323	4.40667	
1324	4.41000	
1325	4.41333	
1326	4.41667	
1327	4.42000	
1328	4.42333	
1329	4.42667	
1330	4.43000	
1331	4.43333	
1332	4.43667	
1333	4.44000	
1334	4.44333	
1335	4.44667	
1336	4.45000	
1337	4.45333	
1338	4.45667	
1339	4.46000	
1340	4.46333	
1341	4.46667	
1342	4.47000	
1343	4.47333	
1344	4.47667	
1345	4.48000	
1346	4.48333	
1347	4.48667	
1348	4.49000	
1349	4.49333	
1350	4.49667	
1351	4.50000	
1352	4.50333	
1353	4.50667	
1354	4.51000	
1355	4.51333	
1356	4.51667	
1357	4.52000	
1358	4.52333	
1359	4.52667	
1360	4.53000	
1361	4.53333	
1362	4.53667	
1363	4.54000	
1364	4.54333	
1365	4.54667	
1366	4.55000	
1367	4.55333	
1368	4.55667	
1369	4.56000	
1370	4.56333	
